,,k_temp,k_conc
US,"Vegetables, fruit, nuts",0.009164110711099127,0.0014080538660030352
US,Oil seeds,-0.013375764767460574,0.0013577649204894948
US,"Sugar cane, sugar beet",-0.004405414856577633,0.0006024830927204215
US,Plant-based fibers,-0.021806826191544226,0.0009987200390640133
US,Crops nec,-0.021806826191544226,0.0009987200390640133
ZA,Paddy rice,-0.04581384382286524,0.0008653393615334048
ZA,Wheat,-0.08750533806401194,0.0007159193339769998
ZA,Cereal grains nec,-0.048795350733563156,0.0005200801216391323
ZA,"Vegetables, fruit, nuts",-0.03579352693510246,0.001303551469301621
ZA,Oil seeds,-0.06064934512917401,0.0014110392753834194
ZA,"Sugar cane, sugar beet",-0.07678474964329121,0.0011021578663650022
ZA,Plant-based fibers,-0.05561172714408535,0.0009493609569615413
ZA,Crops nec,-0.05561172714408535,0.0009493609569615413
